Designator,Mid X,Mid Y,Rotation,Layer
C1,162.41,-43.54,180,bottom
C10,152.93,-104.88,135,bottom
C11,151.65,-55.11,90,bottom
C12,153.72,-55.12,90,bottom
C13,155.8,-55.12,90,bottom
C14,157.88,-55.12,90,bottom
C17,162.5194,-56.5744,180,bottom
C2,156.96,-88.15,315,bottom
C3,161.45,-92.64,135,bottom
C4,162.5394,-54.4544,180,bottom
C5,134.11,-117.25,90,bottom
C6,148.805,-72.93,270,bottom
C7,158.66,-72.93,270,bottom
C8,147.36,-104.55,315,bottom
C9,149.54,-55.1,90,bottom
D1,143.67,-74.57,4,bottom
D10,140.66,-85.36,4,bottom
D11,139.63,-88.94,4,bottom
D12,163.67,-74.62,176,bottom
D13,162.12,-67.42,176,bottom
D14,166.21,-85.31,176,bottom
D15,167.05,-88.89,176,bottom
D16,176.94,-99.81,100,bottom
D17,162.8,-71.05,176,bottom
D18,165.36,-81.76,176,bottom
D19,168,-92.47,176,bottom
D2,142.55,-78.14,4,bottom
D20,173.35,-99.18,100,bottom
D21,164.49,-78.2,176,bottom
D22,169.43,-96.69,145,bottom
D3,137.34,-96.69,35,bottom
D4,133.48,-99.18,80,bottom
D5,144.475,-70.98,4,bottom
D6,141.84,-81.74,4,bottom
D7,138.81,-92.51,4,bottom
D8,129.89,-99.8,80,bottom
D9,145.405,-67.44,4,bottom
F0,163,-41.33,0,bottom
J0,153.71,-32.97,180,bottom
J1,166.225,-114.32,180,bottom
J2,144.945,-48.085,0,bottom
J3,157.93,-108.815,270,bottom
J4,153.685,-69.62,0,bottom
K1,56.515,-40.11,355,bottom
K10,92.795,-62.43,355,bottom
K11,91.135,-81.41,355,bottom
K12,90.995,-106.67,350,bottom
K13,113.445,-45.1,355,bottom
K14,111.785,-64.09,355,bottom
K15,110.135,-83.05,355,bottom
K16,119.615,-111.97,340,bottom
K17,132.405,-46.79,355,bottom
K18,130.765,-65.74,355,bottom
K19,129.132835,-84.679761,355,bottom
K2,54.835,-59.1,355,bottom
K20,250.865,-40,5,bottom
K24,252.535,-59.01,5,bottom
K25,174.925,-46.69,5,bottom
K26,176.635,-65.67,5,bottom
K27,178.305,-84.68,5,bottom
K28,187.855,-111.95,20,bottom
K29,193.925,-45.02,5,bottom
K3,53.195,-78.07,355,bottom
K30,195.595,-63.99,5,bottom
K31,197.275,-82.97,5,bottom
K32,216.395,-106.56,10,bottom
K33,212.875,-43.37,5,bottom
K34,214.605,-62.3,5,bottom
K35,216.205,-81.3,5,bottom
K36,237.275,-103.4,5,bottom
K37,231.895,-41.69,5,bottom
K38,233.575,-60.67,5,bottom
K39,235.195,-79.63,5,bottom
K4,51.185,-101.8,355,bottom
K40,256.235,-101.73,5,bottom
K41,254.185,-77.97,5,bottom
K5,75.485,-41.76,355,bottom
K6,73.835,-60.75,355,bottom
K7,72.175,-79.71,355,bottom
K8,70.105,-103.48,355,bottom
K9,94.465,-43.44,355,bottom
R1,131.92,-117.27,270,bottom
R2,148.86,-106.05,135,bottom
R3,150.32,-107.48,135,bottom
R5,162.88,-94.07,135,bottom
R6,161.5,-38.58,180,bottom
R7,145.8,-38.61,0,bottom
R8,162.89,-119.39,0,bottom
SW1,153.465,-114.37,0,top
SW2,153.725,-66.235,90,top
SW3,171.45,-108.712,90,bottom
SW4,171.45,-117.348,270,bottom
U1,162.56,-49.022,270,bottom
U2,138.1125,-114.3,180,bottom
U3,153.715,-96.77,225,bottom
U44,144.46,-41.86,180,bottom
Y0,159.19,-90.39,45,bottom
